[2025-12-31T19:59:42.366330] [ALERT] Anomaly detected! Source IP: 192.168.1.1, Bytes: 10276.77, Duration: 12.91, Pkts: 1
[2025-12-31T19:59:42.366528] [ALERT] Anomaly detected! Source IP: 192.168.1.1, Bytes: 17151.21, Duration: 2.06, Pkts: 4
[2025-12-31T19:59:42.366580] [ALERT] Anomaly detected! Source IP: 192.168.1.12, Bytes: 13277.15, Duration: 19.77, Pkts: 2
[2025-12-31T19:59:42.366617] [ALERT] Anomaly detected! Source IP: 192.168.1.11, Bytes: 10685.56, Duration: 31.38, Pkts: 1
[2025-12-31T19:59:42.366724] [ALERT] Anomaly detected! Source IP: 192.168.1.12, Bytes: 15314.15, Duration: 10.53, Pkts: 1
[2025-12-31T19:59:42.366862] [ALERT] Anomaly detected! Source IP: 192.168.1.13, Bytes: 7458.88, Duration: 25.06, Pkts: 1
[2025-12-31T19:59:42.366908] [ALERT] Anomaly detected! Source IP: 192.168.1.12, Bytes: 10470.96, Duration: 12.38, Pkts: 1
[2025-12-31T19:59:42.366979] [ALERT] Anomaly detected! Source IP: 192.168.1.13, Bytes: 14652.80, Duration: 2.92, Pkts: 4
[2025-12-31T19:59:42.367071] [ALERT] Anomaly detected! Source IP: 192.168.1.3, Bytes: 15066.60, Duration: 1.33, Pkts: 5
[2025-12-31T19:59:42.367113] [ALERT] Anomaly detected! Source IP: 192.168.1.6, Bytes: 21198.32, Duration: 10.25, Pkts: 2
[2025-12-31T19:59:42.367147] [ALERT] Anomaly detected! Source IP: 192.168.1.1, Bytes: 11574.90, Duration: 19.05, Pkts: 1
[2025-12-31T19:59:59.700612] [ALERT] Anomaly detected! Source IP: 192.168.1.14, Bytes: 26015.04, Duration: 14.23, Pkts: 4
[2025-12-31T19:59:59.700667] [ALERT] Anomaly detected! Source IP: 192.168.1.4, Bytes: 9692.88, Duration: 14.13, Pkts: 1
[2025-12-31T19:59:59.700703] [ALERT] Anomaly detected! Source IP: 192.168.1.1, Bytes: 11077.99, Duration: 12.78, Pkts: 1
[2025-12-31T19:59:59.700736] [ALERT] Anomaly detected! Source IP: 192.168.1.16, Bytes: 15443.92, Duration: 17.70, Pkts: 1
[2025-12-31T19:59:59.700768] [ALERT] Anomaly detected! Source IP: 192.168.1.13, Bytes: 12443.03, Duration: 29.53, Pkts: 1
[2025-12-31T19:59:59.700800] [ALERT] Anomaly detected! Source IP: 192.168.1.18, Bytes: 12474.95, Duration: 13.27, Pkts: 2
[2025-12-31T19:59:59.700830] [ALERT] Anomaly detected! Source IP: 192.168.1.5, Bytes: 9703.46, Duration: 13.54, Pkts: 2
[2025-12-31T19:59:59.700861] [ALERT] Anomaly detected! Source IP: 192.168.1.6, Bytes: 20839.25, Duration: 1.83, Pkts: 5
[2025-12-31T19:59:59.700891] [ALERT] Anomaly detected! Source IP: 192.168.1.8, Bytes: 8186.09, Duration: 25.49, Pkts: 1
[2025-12-31T19:59:59.700921] [ALERT] Anomaly detected! Source IP: 192.168.1.3, Bytes: 9503.58, Duration: 27.19, Pkts: 1
[2025-12-31T19:59:59.701236] [ALERT] Anomaly detected! Source IP: 192.168.1.2, Bytes: 10122.06, Duration: 12.29, Pkts: 1
[2025-12-31T19:59:59.701327] [ALERT] Anomaly detected! Source IP: 192.168.1.10, Bytes: 16304.32, Duration: 16.54, Pkts: 1
[2025-12-31T19:59:59.701389] [ALERT] Anomaly detected! Source IP: 192.168.1.3, Bytes: 10379.25, Duration: 14.58, Pkts: 1
[2025-12-31T19:59:59.701430] [ALERT] Anomaly detected! Source IP: 192.168.1.1, Bytes: 9031.02, Duration: 12.54, Pkts: 1
[2025-12-31T19:59:59.701463] [ALERT] Anomaly detected! Source IP: 192.168.1.5, Bytes: 10286.96, Duration: 40.79, Pkts: 1
[2025-12-31T19:59:59.701497] [ALERT] Anomaly detected! Source IP: 192.168.1.8, Bytes: 11874.51, Duration: 26.24, Pkts: 1
[2025-12-31T20:02:57.626404] [ALERT] Anomaly detected! Source IP: 192.168.1.12, Bytes: 22345.97, Duration: 18.48, Pkts: 2
[2025-12-31T20:02:57.626465] [ALERT] Anomaly detected! Source IP: 192.168.1.4, Bytes: 8032.93, Duration: 24.61, Pkts: 1
[2025-12-31T20:02:57.626503] [ALERT] Anomaly detected! Source IP: 192.168.1.4, Bytes: 10744.03, Duration: 12.52, Pkts: 1
[2025-12-31T20:02:57.626542] [ALERT] Anomaly detected! Source IP: 192.168.1.9, Bytes: 15389.92, Duration: 8.10, Pkts: 3
[2025-12-31T20:02:57.626574] [ALERT] Anomaly detected! Source IP: 192.168.1.15, Bytes: 11612.72, Duration: 16.43, Pkts: 1
[2025-12-31T20:02:57.626694] [ALERT] Anomaly detected! Source IP: 192.168.1.4, Bytes: 11883.32, Duration: 49.81, Pkts: 1
[2025-12-31T20:02:57.626743] [ALERT] Anomaly detected! Source IP: 192.168.1.14, Bytes: 14827.14, Duration: 21.99, Pkts: 2
[2025-12-31T20:02:57.626778] [ALERT] Anomaly detected! Source IP: 192.168.1.4, Bytes: 10605.41, Duration: 15.03, Pkts: 2
[2025-12-31T20:02:57.626811] [ALERT] Anomaly detected! Source IP: 192.168.1.15, Bytes: 14253.75, Duration: 11.37, Pkts: 1
[2025-12-31T20:02:57.626844] [ALERT] Anomaly detected! Source IP: 192.168.1.14, Bytes: 22480.20, Duration: 3.89, Pkts: 4
[2025-12-31T20:02:57.626875] [ALERT] Anomaly detected! Source IP: 192.168.1.14, Bytes: 14638.97, Duration: 10.06, Pkts: 3
